subject	total	semester
04.533	29	20131
04.534	21	20121
04.534	28	20141
04.536	10	20101
04.536	25	20112
04.536	35	20132
04.538	44	20082
04.538	56	20091
04.538	85	20101
04.538	91	20112
04.538	91	20121
04.538	79	20132
04.538	91	20141
04.539	6	20092
04.539	10	20102
04.539	17	20111
04.539	13	20122
04.540	7	20092
04.540	16	20102
04.540	25	20111
04.540	26	20122
04.542	44	20092
04.542	51	20102
04.542	64	20111
04.542	47	20122
04.542	64	20131
04.543	75	20082
04.543	150	20091
04.543	140	20101
04.543	138	20112
04.543	135	20121
04.543	75	20132
04.543	91	20141
04.544	10	20102
04.544	28	20122
04.546	12	20111
04.546	34	20131
04.547	14	20121
04.547	41	20141
04.548	26	20111
04.548	26	20131
04.549	13	20121
04.550	45	20082
04.550	62	20091
04.550	105	20101
04.550	104	20112
04.550	83	20121
04.550	69	20132
04.550	65	20141
04.551	4	20102
04.551	41	20122
04.552	5	20082
04.552	9	20091
04.552	19	20101
04.552	48	20112
04.552	48	20121
04.552	46	20132
04.552	46	20141
04.553	7	20102
04.553	18	20122
04.555	29	20092
04.555	49	20102
04.555	68	20111
04.555	59	20122
04.555	49	20131
04.556	21	20082
04.556	43	20091
04.556	46	20101
04.556	46	20112
04.556	35	20121
04.556	44	20132
04.556	40	20141
04.557	32	20092
04.557	49	20102
04.557	52	20111
04.557	49	20122
04.557	63	20131
04.558	9	20101
04.558	13	20121
04.558	28	20141
04.559	19	20092
04.559	24	20102
04.559	33	20111
04.559	48	20122
04.559	49	20131
04.561	20	20101
04.561	28	20112
04.561	54	20121
04.561	86	20141
04.562	6	20102
04.562	11	20111
04.562	18	20122
04.563	8	20101
04.563	15	20112
04.563	31	20121
04.563	38	20132
04.563	29	20141
04.565	6	20112
04.565	8	20121
04.565	8	20132
04.565	14	20141
04.566	23	20102
04.566	13	20111
04.566	25	20122
04.566	23	20131
04.579	10	20111
04.579	4	20122
04.579	15	20131
05.554	32	20092
05.554	100	20102
05.554	154	20111
05.554	144	20122
05.554	174	20131
05.555	11	20101
05.555	73	20112
05.555	64	20121
05.555	96	20132
05.555	124	20141
05.556	21	20092
05.556	69	20102
05.556	94	20111
05.556	126	20122
05.556	152	20131
05.557	158	20101
05.557	177	20112
05.557	226	20121
05.557	148	20132
05.557	216	20141
05.558	45	20102
05.558	82	20111
05.558	111	20122
05.558	137	20131
05.559	127	20101
05.559	106	20112
05.559	185	20121
05.559	120	20132
05.559	178	20141
05.560	10	20101
05.560	66	20112
05.560	69	20121
05.560	91	20132
05.560	82	20141
05.561	31	20092
05.561	76	20102
05.561	136	20111
05.561	90	20122
05.561	145	20131
05.562	194	20101
05.562	227	20112
05.562	282	20121
05.562	190	20132
05.562	229	20141
05.563	153	20102
05.563	225	20111
05.563	124	20122
05.563	160	20131
05.564	26	20101
05.564	53	20112
05.564	82	20121
05.564	95	20132
05.564	114	20141
05.565	107	20102
05.565	145	20111
05.565	132	20122
05.565	140	20131
05.566	25	20101
05.566	47	20112
05.566	66	20121
05.566	50	20132
05.566	88	20141
05.567	77	20122
05.567	66	20131
05.568	25	20101
05.568	58	20112
05.568	89	20121
05.568	95	20132
05.568	110	20141
05.569	24	20111
05.569	74	20122
05.569	69	20131
05.570	108	20102
05.570	122	20111
05.570	154	20122
05.570	165	20131
05.571	25	20101
05.571	60	20112
05.571	53	20121
05.571	119	20132
05.571	110	20141
05.572	79	20122
05.572	87	20131
05.573	129	20112
05.573	135	20121
05.573	158	20132
05.573	151	20141
05.574	21	20122
05.575	59	20121
05.575	88	20132
05.575	71	20141
05.576	2	20102
05.576	15	20122
05.577	11	20121
05.577	16	20141
05.578	2	20102
05.578	6	20111
05.578	18	20131
05.579	7	20112
05.579	15	20132
05.580	12	20121
05.580	24	20141
05.581	11	20122
05.582	30	20101
05.582	54	20112
05.582	44	20121
05.582	91	20132
05.582	88	20141
05.583	11	20122
05.584	16	20121
05.584	42	20141
05.585	90	20122
05.585	114	20131
05.586	9	20101
05.586	25	20121
05.586	45	20141
05.587	26	20122
05.588	3	20121
05.588	15	20141
05.589	7	20102
05.589	1	20111
05.589	75	20122
05.589	81	20131
05.590	32	20102
05.590	46	20111
05.590	66	20122
05.590	97	20131
05.591	6	20112
05.591	15	20132
05.592	14	20122
05.593	37	20112
05.593	65	20132
05.593	54	20141
05.594	4	20102
05.594	17	20111
05.594	23	20131
05.595	10	20101
05.595	21	20121
05.595	52	20141
05.596	22	20111
05.596	52	20131
05.597	27	20112
05.597	39	20132
05.598	23	20122
05.599	3	20112
05.599	64	20132
05.600	40	20131
05.601	25	20112
05.601	42	20132
05.601	10	20141
05.604	21	20111
05.604	38	20131
05.607	19	20121
05.607	41	20141
05.611	27	20102
05.611	42	20111
05.611	83	20122
05.611	92	20131
05.613	9	20111
05.613	25	20131
05.614	92	20101
05.614	101	20112
05.614	143	20121
05.614	95	20132
05.614	124	20141
05.615	3	20122
05.616	2	20101
05.616	3	20112
05.616	10	20121
05.616	26	20132
05.616	33	20141
06.500	131	20092
06.500	156	20102
06.500	206	20111
06.500	81	20122
06.500	109	20131
06.501	75	20101
06.501	123	20112
06.501	89	20121
06.501	82	20132
06.501	74	20141
06.502	24	20102
06.502	45	20111
06.502	71	20122
06.502	84	20131
06.503	9	20101
06.503	108	20112
06.503	109	20121
06.503	94	20132
06.503	84	20141
06.504	13	20092
06.504	39	20102
06.504	43	20111
06.504	123	20122
06.504	90	20131
06.505	64	20101
06.505	155	20112
06.505	135	20121
06.505	122	20132
06.505	110	20141
06.506	291	20092
06.506	285	20102
06.506	344	20111
06.506	150	20122
06.506	186	20131
06.507	73	20101
06.507	146	20112
06.507	162	20121
06.507	132	20132
06.507	118	20141
06.508	35	20102
06.508	66	20111
06.508	100	20122
06.508	90	20131
06.509	140	20121
06.509	136	20141
06.510	377	20101
06.510	274	20112
06.510	313	20121
06.510	158	20132
06.510	193	20141
06.511	178	20092
06.511	214	20102
06.511	352	20111
06.511	146	20122
06.511	209	20131
06.512	204	20101
06.512	200	20112
06.512	210	20121
06.512	122	20132
06.512	146	20141
06.513	12	20092
06.513	50	20102
06.513	68	20111
06.513	101	20122
06.513	104	20131
06.514	79	20101
06.514	205	20112
06.514	158	20121
06.514	114	20132
06.514	118	20141
06.515	116	20102
06.515	125	20111
06.515	142	20122
06.515	127	20131
06.516	19	20101
06.516	113	20112
06.516	132	20121
06.516	119	20132
06.516	103	20141
06.517	72	20092
06.517	69	20102
06.517	102	20111
06.517	118	20122
06.517	140	20131
06.518	21	20101
06.518	133	20121
06.518	189	20141
06.519	22	20102
06.519	31	20111
06.519	106	20122
06.519	76	20131
06.520	11	20092
06.520	23	20111
06.520	28	20122
06.520	68	20131
06.521	13	20101
06.521	28	20112
06.521	142	20132
06.522	11	20092
06.522	16	20102
06.522	27	20111
06.522	66	20122
06.522	75	20131
06.523	37	20112
06.523	114	20132
06.524	13	20111
06.524	66	20131
06.525	22	20112
06.525	91	20132
06.526	41	20092
06.526	20	20102
06.526	27	20111
06.526	88	20131
06.527	2	20101
06.527	27	20112
06.527	29	20121
06.527	92	20132
06.527	75	20141
06.528	22	20111
06.528	139	20131
06.529	10	20101
06.529	18	20112
06.529	105	20132
06.530	33	20112
06.530	72	20132
06.531	22	20102
06.531	43	20122
06.532	37	20101
06.532	83	20121
06.532	94	20141
06.533	29	20111
06.533	44	20131
06.535	26	20111
06.535	19	20131
06.536	4	20101
06.536	7	20112
06.536	28	20132
06.537	24	20122
06.538	24	20112
06.538	42	20132
06.539	35	20111
06.539	28	20131
06.540	4	20102
06.540	8	20111
06.540	22	20131
06.541	22	20112
06.541	51	20132
06.542	36	20131
06.543	24	20132
06.544	17	20131
06.545	13	20121
06.545	10	20132
06.545	12	20141
06.546	14	20102
06.546	16	20111
06.546	32	20131
06.547	6	20101
06.547	4	20121
06.547	11	20141
06.551	19	20102
06.551	15	20111
06.551	10	20122
06.551	5	20131
06.552	4	20101
06.552	8	20112
06.552	6	20121
06.552	24	20132
06.552	23	20141
06.554	25	20112
06.554	53	20132
06.573	5	20122
06.573	3	20131
07.501	20	20092
07.501	27	20102
07.501	59	20111
07.501	22	20122
07.501	28	20131
07.502	19	20101
07.502	32	20112
07.502	21	20121
07.502	14	20132
07.502	23	20141
07.503	30	20092
07.503	51	20102
07.503	47	20111
07.503	31	20122
07.503	31	20131
07.504	34	20101
07.504	35	20112
07.504	33	20121
07.504	15	20132
07.504	15	20141
07.505	21	20102
07.505	38	20111
07.505	23	20122
07.505	22	20131
07.506	13	20101
07.506	14	20112
07.506	19	20121
07.506	9	20132
07.506	17	20141
07.507	18	20111
07.507	19	20122
07.507	19	20131
07.508	31	20112
07.508	45	20121
07.508	31	20132
07.508	19	20141
07.509	13	20102
07.509	16	20111
07.509	12	20122
07.509	23	20131
07.510	14	20102
07.510	15	20111
07.510	16	20122
07.510	23	20131
07.511	4	20101
07.511	10	20112
07.511	21	20121
07.511	12	20132
07.511	23	20141
07.512	16	20111
07.512	22	20122
07.512	17	20131
07.513	12	20112
07.513	18	20121
07.513	28	20132
07.513	24	20141
07.514	12	20122
07.514	9	20131
07.515	6	20112
07.515	6	20121
07.515	7	20132
07.515	7	20141
07.516	5	20122
07.516	5	20131
07.517	24	20121
07.517	10	20132
07.517	17	20141
07.518	11	20131
07.519	4	20112
07.519	11	20132
07.520	10	20112
07.520	11	20132
07.521	20	20131
07.522	9	20112
07.522	3	20132
07.523	5	20102
07.523	4	20122
07.524	10	20132
07.531	10	20112
07.533	10	20141
07.535	9	20141
07.536	8	20111
07.536	10	20131
07.537	9	20112
07.537	6	20141
07.538	3	20131
07.539	18	20132
07.540	4	20132
07.541	9	20111
07.541	8	20122
07.541	7	20131
07.542	2	20121
07.542	13	20141
07.543	10	20131
07.544	14	20121
07.544	13	20141
07.546	2	20101
07.546	5	20121
07.547	6	20111
07.547	10	20131
07.548	6	20132
07.549	6	20122
07.550	13	20111
07.550	11	20131
07.551	10	20121
07.551	15	20141
07.553	8	20121
07.553	12	20141
07.554	12	20122
07.556	6	20122
07.557	6	20121
07.557	9	20132
07.559	52	20091
07.559	56	20101
07.559	22	20112
07.559	28	20121
07.559	20	20132
07.559	46	20141
07.560	37	20091
07.560	52	20101
07.560	36	20112
07.560	38	20121
07.560	21	20132
07.560	38	20141
07.561	21	20102
07.561	37	20111
07.561	27	20122
07.561	39	20131
07.562	45	20091
07.562	81	20101
07.562	27	20112
07.562	30	20121
07.562	24	20132
07.562	38	20141
07.563	11	20092
07.563	24	20102
07.563	8	20111
07.563	8	20122
07.563	18	20131
07.564	5	20101
07.564	5	20112
07.564	8	20121
07.564	6	20132
07.564	3	20141
07.565	2	20092
07.565	7	20102
07.565	7	20111
07.565	5	20122
07.565	5	20131
07.566	2	20101
07.566	4	20112
07.566	1	20121
07.566	2	20132
07.566	5	20141
07.567	12	20092
07.567	23	20102
07.567	38	20111
07.567	35	20122
07.567	33	20131
07.568	42	20091
07.568	56	20101
07.568	41	20112
07.568	42	20121
07.568	19	20132
07.568	39	20141
07.569	22	20092
07.569	29	20102
07.569	29	20111
07.569	16	20122
07.569	15	20131
07.570	1	20092
07.570	1	20102
07.570	1	20111
07.570	3	20122
07.571	1	20112
07.572	25	20092
07.572	37	20102
07.572	48	20111
07.572	35	20122
07.572	41	20131
08.563	18	20091
08.563	123	20101
08.563	108	20112
08.563	161	20121
08.563	109	20132
08.563	169	20141
08.564	17	20092
08.564	49	20102
08.564	83	20111
08.564	93	20122
08.564	89	20131
08.565	5	20091
08.565	52	20101
08.565	110	20112
08.565	80	20121
08.565	106	20132
08.565	83	20141
08.566	89	20092
08.566	119	20102
08.566	181	20111
08.566	106	20122
08.566	164	20131
08.567	28	20091
08.567	113	20101
08.567	122	20112
08.567	195	20121
08.567	96	20132
08.567	152	20141
08.568	35	20092
08.568	99	20102
08.568	159	20111
08.568	116	20122
08.568	136	20131
08.569	2	20091
08.569	41	20101
08.569	101	20112
08.569	117	20121
08.569	137	20132
08.569	108	20141
08.570	6	20091
08.570	73	20101
08.570	110	20112
08.570	78	20121
08.570	77	20132
08.570	62	20141
08.571	43	20092
08.571	69	20102
08.571	130	20111
08.571	77	20122
08.571	110	20131
08.572	4	20091
08.572	24	20101
08.572	60	20112
08.572	50	20121
08.572	54	20132
08.572	68	20141
08.573	8	20102
08.573	16	20111
08.573	61	20131
08.574	8	20101
08.574	47	20112
08.574	41	20121
08.574	60	20132
08.574	65	20141
08.575	5	20102
08.575	13	20111
08.575	65	20122
08.575	58	20131
08.576	16	20101
08.576	51	20112
08.576	65	20121
08.576	75	20132
08.576	63	20141
08.577	2	20092
08.577	11	20102
08.577	15	20111
08.577	35	20122
08.577	53	20131
08.578	7	20101
08.578	11	20112
08.578	29	20121
08.578	54	20132
08.578	68	20141
08.579	1	20092
08.579	12	20102
08.579	17	20111
08.579	49	20122
08.579	65	20131
08.580	1	20092
08.580	5	20102
08.580	25	20111
08.580	52	20122
08.580	58	20131
