subject	total	semester
05.562	101	20121
05.562	72	20132
05.563	86	20102
05.563	163	20111
05.563	92	20122
05.563	109	20131
05.564	14	20101
05.564	39	20112
05.564	64	20121
05.564	61	20132
05.565	70	20102
05.565	84	20111
05.565	83	20122
05.565	93	20131
05.566	9	20101
05.566	23	20112
05.566	30	20121
05.566	20	20132
05.567	51	20122
05.567	31	20131
05.568	15	20101
05.568	31	20112
05.568	48	20121
05.568	49	20132
05.569	11	20111
05.569	47	20122
05.569	41	20131
05.570	49	20102
05.570	48	20111
05.570	85	20122
05.570	90	20131
05.571	15	20101
05.571	45	20112
05.571	28	20121
05.571	98	20132
05.572	63	20122
05.572	61	20131
05.573	68	20112
05.573	42	20121
05.573	82	20132
05.574	17	20122
05.575	49	20121
05.575	73	20132
05.576	2	20102
05.576	9	20122
05.577	11	20121
05.578	2	20102
05.578	6	20111
05.578	16	20131
05.579	7	20112
05.579	13	20132
05.580	10	20121
05.581	10	20122
05.582	22	20101
05.582	42	20112
05.582	31	20121
05.582	69	20132
05.583	7	20122
05.584	14	20121
05.585	66	20122
05.585	63	20131
05.586	6	20101
05.586	21	20121
05.587	16	20122
05.588	2	20121
05.589	6	20102
05.589	1	20111
05.589	51	20122
05.589	65	20131
05.590	24	20102
05.590	33	20111
05.590	52	20122
05.590	82	20131
05.591	4	20112
05.591	12	20132
05.592	12	20122
05.593	33	20112
05.593	55	20132
05.594	3	20102
05.594	8	20111
05.594	14	20131
05.595	8	20101
05.595	21	20121
05.596	16	20111
05.596	50	20131
05.597	25	20112
05.597	34	20132
05.598	22	20122
05.599	3	20112
05.599	60	20132
05.600	36	20131
05.601	12	20112
05.601	33	20132
05.604	13	20111
05.604	34	20131
05.607	17	20121
05.611	10	20102
05.611	15	20111
05.611	50	20122
05.611	42	20131
05.613	4	20111
05.613	19	20131
05.614	71	20101
05.614	76	20112
05.614	101	20121
05.614	80	20132
05.615	3	20122
05.616	3	20112
05.616	8	20121
05.616	25	20132
06.500	105	20092
06.500	123	20102
06.500	165	20111
06.500	69	20122
06.500	78	20131
06.501	51	20101
06.501	96	20112
06.501	61	20121
06.501	60	20132
06.502	23	20102
06.502	42	20111
06.502	62	20122
06.502	79	20131
06.503	5	20101
06.503	98	20112
06.503	93	20121
06.503	74	20132
06.504	11	20092
06.504	32	20102
06.504	33	20111
06.504	110	20122
06.504	82	20131
06.505	37	20101
06.505	75	20112
06.505	73	20121
06.505	54	20132
06.506	232	20092
06.506	215	20102
06.506	253	20111
06.506	120	20122
06.506	117	20131
06.507	47	20101
06.507	92	20112
06.507	110	20121
06.507	77	20132
06.508	28	20102
06.508	62	20111
06.508	95	20122
06.508	81	20131
06.509	132	20121
06.510	229	20101
06.510	168	20112
06.510	196	20121
06.510	86	20132
06.511	127	20092
06.511	155	20102
06.511	279	20111
06.511	108	20122
06.511	142	20131
06.512	153	20101
06.512	151	20112
06.512	149	20121
06.512	104	20132
06.513	8	20092
06.513	32	20102
06.513	51	20111
06.513	72	20122
06.513	81	20131
06.514	63	20101
06.514	177	20112
06.514	130	20121
06.514	86	20132
06.515	108	20102
06.515	105	20111
06.515	125	20122
06.515	108	20131
06.516	15	20101
06.516	95	20112
06.516	102	20121
06.516	93	20132
06.517	65	20092
06.517	57	20102
06.517	80	20111
06.517	107	20122
06.517	118	20131
06.518	16	20101
06.518	92	20121
06.519	19	20102
06.519	28	20111
06.519	94	20122
06.519	65	20131
06.520	9	20092
06.520	23	20111
06.520	26	20122
06.520	59	20131
06.521	11	20101
06.521	27	20112
06.521	124	20132
06.522	8	20092
06.522	10	20102
06.522	18	20111
06.522	56	20122
06.522	55	20131
06.523	32	20112
06.523	103	20132
06.524	10	20111
06.524	56	20131
06.525	20	20112
06.525	80	20132
06.526	36	20092
06.526	13	20102
06.526	17	20111
06.526	82	20131
06.527	19	20112
06.527	20	20121
06.527	77	20132
06.528	20	20111
06.528	115	20131
06.529	9	20101
06.529	17	20112
06.529	102	20132
06.530	29	20112
06.530	67	20132
06.531	19	20102
06.531	32	20122
06.532	36	20101
06.532	71	20121
06.533	29	20111
06.533	42	20131
06.535	14	20111
06.535	13	20131
06.536	3	20101
06.536	7	20112
06.536	22	20132
06.537	17	20122
06.538	22	20112
06.538	40	20132
06.539	32	20111
06.539	25	20131
06.540	4	20102
06.540	7	20111
06.540	19	20131
06.541	20	20112
06.541	45	20132
06.542	31	20131
06.543	21	20132
06.544	16	20131
06.545	13	20121
06.545	8	20132
06.546	7	20102
06.546	8	20111
06.546	26	20131
06.547	5	20101
06.547	4	20121
06.551	18	20102
06.551	14	20111
06.551	9	20122
06.551	4	20131
06.552	3	20101
06.552	7	20112
06.552	4	20121
06.552	20	20132
06.554	21	20112
06.554	50	20132
06.573	5	20122
06.573	3	20131
07.501	17	20092
07.501	21	20102
07.501	42	20111
07.501	15	20122
07.501	14	20131
07.502	18	20101
07.502	28	20112
07.502	16	20121
07.502	9	20132
07.503	21	20092
07.503	36	20102
07.503	28	20111
07.503	19	20122
07.503	20	20131
07.504	27	20101
07.504	30	20112
07.504	27	20121
07.504	10	20132
07.505	14	20102
07.505	27	20111
07.505	16	20122
07.505	12	20131
07.506	7	20101
07.506	10	20112
07.506	13	20121
07.506	5	20132
07.507	15	20111
07.507	18	20122
07.507	12	20131
07.508	22	20112
07.508	31	20121
07.508	26	20132
07.509	12	20102
07.509	14	20111
07.509	11	20122
07.509	21	20131
07.510	10	20102
07.510	9	20111
07.510	14	20122
07.510	18	20131
07.511	3	20101
07.511	8	20112
07.511	15	20121
07.511	12	20132
07.512	11	20111
07.512	16	20122
07.512	13	20131
07.513	12	20112
07.513	17	20121
07.513	20	20132
07.514	12	20122
07.514	8	20131
07.515	4	20112
07.515	6	20121
07.515	7	20132
07.516	5	20122
07.516	5	20131
07.517	19	20121
07.517	9	20132
07.518	9	20131
07.519	3	20112
07.519	11	20132
07.520	10	20112
07.520	10	20132
07.521	18	20131
07.522	9	20112
07.522	3	20132
07.523	5	20102
07.523	4	20122
07.524	10	20132
07.531	9	20112
07.536	8	20111
07.536	5	20131
07.537	8	20112
07.538	3	20131
07.539	17	20132
07.540	4	20132
07.541	9	20111
07.541	6	20122
07.541	7	20131
07.542	2	20121
07.543	10	20131
07.544	10	20121
07.546	2	20101
07.546	5	20121
07.547	4	20111
07.547	10	20131
07.548	4	20132
07.549	5	20122
07.550	7	20111
07.550	8	20131
07.551	6	20121
07.553	8	20121
07.554	11	20122
07.556	4	20122
07.557	6	20121
07.557	9	20132
07.559	34	20091
07.559	36	20101
07.559	13	20112
07.559	21	20121
07.559	15	20132
07.560	29	20091
07.560	44	20101
07.560	32	20112
07.560	30	20121
07.560	16	20132
07.561	18	20102
07.561	29	20111
07.561	19	20122
07.561	29	20131
07.562	32	20091
07.562	59	20101
07.562	20	20112
07.562	24	20121
07.562	18	20132
07.563	6	20092
07.563	14	20102
07.563	4	20111
07.563	6	20122
07.563	14	20131
07.564	5	20101
07.564	4	20112
07.564	7	20121
07.564	6	20132
07.565	2	20092
07.565	4	20102
07.565	5	20111
07.565	4	20122
07.565	3	20131
07.566	1	20101
07.566	4	20112
07.566	2	20132
07.567	9	20092
07.567	16	20102
07.567	23	20111
07.567	28	20122
07.567	25	20131
07.568	33	20091
07.568	40	20101
07.568	32	20112
07.568	34	20121
07.568	13	20132
07.569	12	20092
07.569	20	20102
07.569	21	20111
07.569	11	20122
07.569	10	20131
07.570	1	20102
07.570	1	20111
07.570	2	20122
07.572	15	20092
07.572	25	20102
07.572	35	20111
07.572	26	20122
07.572	21	20131
08.563	14	20091
08.563	76	20101
08.563	65	20112
08.563	79	20121
08.563	62	20132
08.564	11	20092
08.564	36	20102
08.564	60	20111
08.564	66	20122
08.564	52	20131
08.565	2	20091
08.565	36	20101
08.565	87	20112
08.565	50	20121
08.565	74	20132
08.566	55	20092
08.566	73	20102
08.566	117	20111
08.566	65	20122
08.566	97	20131
08.567	25	20091
08.567	92	20101
08.567	96	20112
08.567	147	20121
08.567	69	20132
08.568	22	20092
08.568	60	20102
08.568	116	20111
08.568	82	20122
08.568	80	20131
08.569	1	20091
08.569	9	20101
08.569	36	20112
08.569	45	20121
08.569	52	20132
08.570	3	20091
08.570	54	20101
08.570	86	20112
08.570	60	20121
08.570	54	20132
